year,pid,urban,hhnature,total_asset,age,gender,educ,marriage,health,precarious_job,industry,workhour,wage_month,job_status,wage_year,social_status,job_satisfaction,provname,upbringing,inc_exp_p
2014,511021102.0,1.0,0.0,23.334909439086914,43.0,0.0,12.0,1.0,4.0,0.0,16.0,25.0,,1.0,35355.0,3.0,5.0,,0.5,1.0194833
2014,610276103.0,1.0,0.0,14.4399995803833,41.0,0.0,9.0,1.0,1.0,0.0,3.0,52.0,2450.0,1.0,32000.0,2.0,3.0,陕西,0.0,0.8389492
2014,310481101.0,1.0,0.0,415.6400146484375,37.0,1.0,16.0,1.0,3.0,0.0,6.0,45.0,6000.0,1.0,100000.0,3.0,3.0,上海,2.0,2.9268293
2014,130057104.0,0.0,1.0,27.415000915527344,39.0,0.0,9.0,1.0,3.0,0.0,15.0,56.0,,1.0,0.0,1.0,4.0,河北,0.5,0.030585105
2014,620180101.0,0.0,1.0,16.950000762939453,50.0,1.0,9.0,1.0,3.0,0.0,,28.0,,1.0,0.0,3.0,3.0,甘肃,0.33333334,0.22589052
2014,312144106.0,0.0,0.0,232.80999755859375,32.0,1.0,12.0,1.0,4.0,0.0,3.0,40.0,3500.0,1.0,45000.0,3.0,4.0,上海,0.25,0.50519896
2014,430433103.0,1.0,1.0,,18.0,1.0,9.0,0.0,5.0,0.0,8.0,48.0,6500.0,1.0,,,3.0,广东,0.0,
2014,210813101.0,1.0,1.0,,40.0,0.0,6.0,1.0,2.0,0.0,9.0,70.0,,1.0,0.0,3.0,3.0,,0.0,0.010103627
2014,450030102.0,1.0,1.0,4.855500221252441,59.0,0.0,,1.0,4.0,0.0,,28.0,,1.0,0.0,5.0,4.0,广西,0.75,0.9299623
2014,311952101.0,0.0,1.0,68.87999725341797,42.0,1.0,9.0,1.0,2.0,0.0,,28.0,,1.0,0.0,2.0,4.0,上海,0.33333334,0.034246575
2014,230275101.0,1.0,,,39.0,0.0,9.0,1.0,3.0,0.0,,,,0.0,,,,黑龙江,0.5,
