pid,year,gender,age,educ,marriage,child_num,job,job_precarity,job_security_dummy,bianzhi,wage,industry,provname
166755501,2014,0.0,33,15.0,1.0,1,1,2.0,1.0,,30000.0,公共管理和社会组织,浙江
330305101,2014,0.0,55,0.0,1.0,2,1,,,,,交通运输、仓储和邮政业,浙江
330310431,2014,1.0,27,15.0,1.0,2,1,2.0,,,,教育,浙江
330289101,2014,1.0,36,16.0,0.0,0,1,2.0,1.0,,50000.0,制造业,浙江
330336102,2014,0.0,31,6.0,0.0,0,1,,0.0,,,批发和零售业,浙江
330296101,2014,1.0,28,12.0,0.0,0,1,,0.0,,30000.0,批发和零售业,浙江
330312104,2014,0.0,27,16.0,1.0,0,1,2.0,,,,信息传播、计算机服务和软件业,浙江
330360101,2014,0.0,41,6.0,1.0,1,1,,0.0,,,居民服务和其他服务业,浙江
510097101,2014,1.0,55,9.0,0.0,0,1,,,,3000.0,,四川
511050101,2014,0.0,68,6.0,1.0,0,0,,0.0,,20600.0,制造业,四川
510093101,2014,0.0,44,0.0,1.0,0,1,2.0,,,,制造业,四川
510018101,2014,0.0,44,12.0,1.0,0,1,2.0,1.0,,1400.0,批发和零售业,四川
510047102,2014,0.0,41,6.0,1.0,1,1,2.0,1.0,,28800.0,制造业,四川
510096101,2014,1.0,50,9.0,1.0,0,1,,0.0,,20000.0,制造业,四川
510080103,2014,1.0,20,15.0,0.0,0,1,2.0,1.0,,7200.0,教育,四川
510039104,2014,1.0,23,12.0,1.0,1,1,,0.0,,38000.0,批发和零售业,四川
510074101,2014,1.0,38,6.0,1.0,0,1,2.0,0.0,,,住宿和餐饮业,四川
